"id","Length","Invertebrates","Fish","Tetrapods","Region","PurportedSubspecies","Lineage"
743,85,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
701,82,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
713,82,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
797,81,0,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
700,81,0,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
706,78,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
699,75,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
719,75,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
1,75,0,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
725,75,0,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
741,74,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
62,74,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
698,74,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
703,72,0,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
705,72,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
708,71,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
702,67,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
723,67,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
704,66,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
707,64,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
710,60,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
724,60,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
745,55,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
61,53,1,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
55,52,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
63,52,1,0,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
748,52,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
714,51,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
